site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,red_tactics_probs_time,red_tactics_probs_tactic_1,red_tactics_probs_tactic_2,red_tactics_batch_plot_trials_reviewed,red_tactics_batch_plot_trials_total,red_tactics_actual_red_tactic,bluebook_P-Sensitive_prob_1,bluebook_U-Sensitive_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_normative_1,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
PSU,022,Human_Single,Sample-Exam-2,5,11,45458.0,1,0.4,0.18404820457740712,3,0,32822.0,40.0,60.0,7,10,U-Sensitive,0.6,0.2,8627.0,0.2,0.426299273976835,3058.0,Divert,-0.8,Do_Not_Divert,-0.3791421545071115,Divert,-0.573700726023165
PSU,022,Human_Single,Sample-Exam-2,5,12,11466.0,1,0.7,0.38887270333701096,3,0,3027.0,40.0,60.0,0,11,U-Sensitive,0.4,0.2,3151.0,0.2,0.3091497344998376,4009.0,Do_Not_Divert,-0.13335275599558685,Do_Not_Divert,-0.13335275599558685,Do_Not_Divert,-0.2061298455542865
PSU,022,Human_Single,Sample-Exam-2,5,13,12059.0,1,0.9,0.057387496806439176,2,0,812.0,40.0,60.0,0,12,U-Sensitive,0.6,0.2,5288.0,0.2,0.40536173084172955,5226.0,Divert,-0.8,Do_Not_Divert,-0.3540900025548487,Divert,-0.5946382691582704
PSU,022,Human_Single,Sample-Exam-2,5,14,13760.0,1,1.0,0.2662596063096403,3,0,4400.0,40.0,60.0,0,13,U-Sensitive,0.4,0.2,5506.0,0.2,0.2918186786344388,2886.0,Do_Not_Divert,-0.28048847242843167,Do_Not_Divert,-0.28048847242843167,Do_Not_Divert,-0.40925887698128566
PSU,022,Human_Single,Sample-Exam-2,5,15,13634.0,1,1.0,0.5064099674647828,5,1,748.0,40.0,60.0,0,14,U-Sensitive,0.4,0.8,3651.0,0.8,0.6344530460867768,8065.0,Do_Not_Divert,0.05127973971826272,Do_Not_Divert,0.05127973971826272,Do_Not_Divert,0.04066823383348607
PSU,022,Human_Single,Sample-Exam-2,5,16,18564.0,1,0.4,0.1598291374233498,2,1,7394.0,40.0,60.0,0,15,U-Sensitive,0.6,0.2,4790.0,0.2,0.391622221446807,2355.0,Divert,-0.8,Do_Not_Divert,-0.2721366900613202,Do_Not_Divert,-0.532873875494977
PSU,022,Human_Single,Sample-Exam-2,5,17,11840.0,1,0.7,0.16660703387149745,2,1,1326.0,40.0,60.0,0,16,U-Sensitive,0.6,0.2,5179.0,0.2,0.3698856196979251,4056.0,Do_Not_Divert,-0.26671437290280203,Do_Not_Divert,-0.26671437290280203,Do_Not_Divert,-0.49326905551748207
PSU,022,Human_Single,Sample-Exam-2,5,18,31107.0,1,0.4,0.21396188864545995,4,0,20468.0,60.0,40.0,0,17,U-Sensitive,0.6,0.8,6505.0,0.6,0.6993843533354758,3245.0,Divert,-0.4,Divert,-0.4,Divert,-0.3006156466645242
PSU,022,Human_Single,Sample-Exam-2,5,19,11076.0,1,0.4,0.5406303245778592,2,0,530.0,60.0,40.0,0,18,U-Sensitive,0.4,0.2,4883.0,0.4,0.30785169833924314,4399.0,Do_Not_Divert,0.06500851932457473,Do_Not_Divert,0.06500851932457473,Do_Not_Divert,0.05003245770147459
PSU,022,Human_Single,Sample-Exam-2,5,20,11903.0,1,0.7,0.5331279305207988,2,0,561.0,60.0,40.0,0,19,U-Sensitive,0.4,0.2,5086.0,0.04,0.3004328847107362,5507.0,Do_Not_Divert,0.005300468883327802,Do_Not_Divert,0.005300468883327802,Do_Not_Divert,0.03981087892344166
