47,9,3,3,0.25,0.09,0.37,0.29
47,10,6,4,0.03,0.12,0.59,0.26
48,1,1,1,0.4,0.25,0.33,0.02
48,2,1,2,0.03,0.43,0.32,0.22
48,3,0,4,0.1,0.33,0.05,0.52
48,4,6,4,0.33,0.37,0.01,0.29
48,5,3,3,0.56,0.08,0.26,0.1
48,6,2,2,0.05,0.44,0.22,0.29
48,7,6,1,0.13,0.05,0.52,0.3
48,8,2,2,0.27,0.24,0.11,0.38
48,9,2,3,0.25,0.09,0.37,0.29
48,10,6,4,0.03,0.12,0.59,0.26
49,1,0,1,0.4,0.25,0.33,0.02
49,2,2,2,0.03,0.43,0.32,0.22
49,3,0,4,0.1,0.33,0.05,0.52
49,4,2,4,0.33,0.37,0.01,0.29
49,5,3,3,0.56,0.08,0.26,0.1
49,6,0,2,0.05,0.44,0.22,0.29
49,7,2,1,0.13,0.05,0.52,0.3
49,8,1,2,0.27,0.24,0.11,0.38
49,9,0,3,0.25,0.09,0.37,0.29
49,10,4,4,0.03,0.12,0.59,0.26
50,1,0,1,0.4,0.25,0.33,0.02
50,2,0,2,0.03,0.43,0.32,0.22
50,3,0,4,0.1,0.33,0.05,0.52
50,4,5,4,0.33,0.37,0.01,0.29
50,5,6,3,0.56,0.08,0.26,0.1
50,6,0,2,0.05,0.44,0.22,0.29
50,7,6,1,0.13,0.05,0.52,0.3
50,8,3,2,0.27,0.24,0.11,0.38
50,9,2,3,0.25,0.09,0.37,0.29
50,10,5,4,0.03,0.12,0.59,0.26
51,1,0,1,0.4,0.25,0.33,0.02
51,2,5,2,0.03,0.43,0.32,0.22
51,3,2,4,0.1,0.33,0.05,0.52
51,4,5,4,0.33,0.37,0.01,0.29
51,5,3,3,0.56,0.08,0.26,0.1
51,6,1,2,0.05,0.44,0.22,0.29
51,7,6,1,0.13,0.05,0.52,0.3
51,8,3,2,0.27,0.24,0.11,0.38
51,9,2,3,0.25,0.09,0.37,0.29
51,10,4,4,0.03,0.12,0.59,0.26
52,1,1,1,0.4,0.25,0.33,0.02
52,2,0,2,0.03,0.43,0.32,0.22
52,3,1,4,0.1,0.33,0.05,0.52
52,4,6,4,0.33,0.37,0.01,0.29
52,5,2,3,0.56,0.08,0.26,0.1
52,6,0,2,0.05,0.44,0.22,0.29
52,7,6,1,0.13,0.05,0.52,0.3
52,8,1,2,0.27,0.24,0.11,0.38
52,9,0,3,0.25,0.09,0.37,0.29
52,10,6,4,0.03,0.12,0.59,0.26
